Borough	Year	NTA Code	NTA Name	Population
Queens	2010	QN60	Kew Gardens	"23,278"
Queens	2010	QN62	Queensboro Hill	"20,800"
Queens	2010	QN63	Woodside	"45,099"
Queens	2010	QN66	Laurelton	"24,453"
Queens	2010	QN68	Queensbridge-Ravenswood-Long Island City	"20,030"
Queens	2010	QN70	Astoria	"78,793"
Queens	2010	QN71	Old Astoria	"27,814"
Queens	2010	QN72	Steinway	"47,534"
Queens	2010	QN76	Baisley Park	"34,603"
Queens	2010	QN98	Airport	0
Queens	2010	QN99	park-cemetery-etc-Queens	436
Staten Island	2010	SI01	Annadale-Huguenot-Prince's Bay-Eltingville	"27,770"
Staten Island	2010	SI05	New Springville-Bloomfield-Travis	"39,597"
Staten Island	2010	SI07	Westerleigh	"24,102"
Staten Island	2010	SI08	Grymes Hill-Clifton-Fox Hills	"22,460"
Staten Island	2010	SI11	Charleston-Richmond Valley-Tottenville	"23,313"
Staten Island	2010	SI12	Mariner's Harbor-Arlington-Port Ivory-Graniteville	"31,474"
Staten Island	2010	SI14	Grasmere-Arrochar-Ft. Wadsworth	"16,079"
Staten Island	2010	SI22	West New Brighton-New Brighton-St. George	"33,551"
Staten Island	2010	SI24	Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill	"30,714"
Staten Island	2010	SI25	Oakwood-Oakwood Beach	"22,049"
Staten Island	2010	SI28	Port Richmond	"20,191"
Staten Island	2010	SI32	Rossville-Woodrow	"20,763"
Staten Island	2010	SI35	New Brighton-Silver Lake	"17,525"
Staten Island	2010	SI36	Old Town-Dongan Hills-South Beach	"24,835"
Staten Island	2010	SI37	Stapleton-Rosebank	"26,453"
Staten Island	2010	SI45	New Dorp-Midland Beach	"21,896"
Staten Island	2010	SI48	Arden Heights	"25,238"
Staten Island	2010	SI54	Great Kills	"40,720"
Staten Island	2010	SI99	park-cemetery-etc-Staten Island	0
